Total tokens: 239568
Total uncategorizable tokens: 77254
Total categorized tokens: 162314
Total lemmas: 12796
Total uncategorizable lemmas: 7549
Total categorized lemmas: 5247


Category	Percentage	Tokens
Positiv	5.0820646%	12175
Negativ	4.7794366%	11450
Pstv	4.755226%	11392
Affil	3.5154946%	8422
Ngtv	4.23888%	10155
Hostile	3.238329%	7758
Strong	8.916466%	21361
Power	4.6567154%	11156
Weak	3.931243%	9418
Submit	1.5131403%	3625
Active	11.403443%	27319
Passive	6.40361%	15341
Pleasur	0.3318473%	795
Pain	0.43912375%	1052
Feel	0.015444467%	37
Arousal	1.173362%	2811
EMOT	1.053563%	2524
Virtue	2.6844153%	6431
Vice	1.4972785%	3587
Ovrst	5.641822%	13516
Undrst	3.0997462%	7426
Academ	0.50674546%	1214
Doctrin	0.34478727%	826
Econ@	1.4601282%	3498
Exch	0.20912644%	501
ECON	1.7740266%	4250
Exprsv	0.79643357%	1908
Legal	1.0402057%	2492
Milit	0.2830094%	678
Polit@	0.6156916%	1475
POLIT	1.73145%	4148
Relig	0.15110531%	362
Role	2.1534595%	5159
COLL	0.8853437%	2121
Work	2.8154845%	6745
Ritual	0.7630401%	1828
SocRel	4.652541%	11146
Race	0.11395512%	273
Kin@	0.43912375%	1052
MALE	2.1405196%	5128
Female	2.1087956%	5052
Nonadlt	0.22624056%	542
HU	2.9256828%	7009
ANI	0.27883524%	668
PLACE	1.9626995%	4702
Social	0.74216926%	1778
Region	0.27967006%	670
Route	0.22331865%	535
Aquatic	0.12981701%	311
Land	0.41533095%	995
Sky	0.19326454%	463
Object	3.8677952%	9266
Tool	1.9543512%	4682
Food	0.3865291%	926
Vehicle	0.15861884%	380
BldgPt	0.333517%	799
ComnObj	0.682061%	1634
NatObj	0.50841516%	1218
BodyPt	1.2739598%	3052
ComForm	4.2426367%	10164
COM	2.8113105%	6735
Say	0.39529487%	947
Need	1.7961496%	4303
Goal	0.35480532%	850
Try	1.2230347%	2930
Means	2.744106%	6574
Persist	0.6503373%	1558
Complet	1.0928004%	2618
Fail	0.5956555%	1427
NatrPro	1.304014%	3124
Begin	0.45039403%	1079
Vary	0.96047884%	2301
Increas	0.33727378%	808
Decreas	0.18491618%	443
Finish	0.77681494%	1861
Stay	0.6557637%	1571
Rise	0.3907033%	936
Exert	1.0848695%	2599
Fetch	1.0293529%	2466
Travel	2.1785047%	5219
Fall	0.2592166%	621
Think	0.025462499%	61
Know	2.5416584%	6089
Causal	1.5093836%	3616
Ought	0.30930674%	741
Perceiv	1.6600715%	3977
Compare	0.5585053%	1338
Eval@	0.10310225%	247
EVAL	1.4743204%	3532
Solve	4.390403%	10518
Abs@	1.1362119%	2722
ABS	2.4861417%	5956
Quality	1.7915583%	4292
Quan	5.3917885%	12917
NUMB	1.0823649%	2593
ORD	0.30888933%	740
CARD	0.7734756%	1853
FREQ	0.7864156%	1884
DIST	0.2270754%	544
Time@	4.2714386%	10233
TIME	1.1679356%	2798
Space	6.128949%	14683
POS	0.5226074%	1252
DIM	0.5585053%	1338
Rel	2.6839979%	6430
COLOR	0.23417151%	561
Self	2.288703%	5483
Our	0.4679256%	1121
You	0.77681494%	1861
Name	0.35021374%	839
Yes	0.4291057%	1028
No	0.24418955%	585
Negate	1.3812362%	3309
Intrj	1.4722333%	3527
IAV	13.7251215%	32881
DAV	7.7748284%	18626
SV	6.541775%	15672
IPadj	0.025462499%	61
IndAdj	0.25295532%	606
PowGain	0.72797704%	1744
PowLoss	0.64866763%	1554
PowEnds	0.13482602%	323
PowAren	0.11186803%	268
PowCon	0.75886595%	1818
PowCoop	0.56894076%	1363
PowAuPt	0.43703666%	1047
PowPt	0.22331865%	535
PowDoct	0.035480533%	85
PowAuth	0.1552795%	372
PowOth	1.8658586%	4470
PowTot	5.0002503%	11979
RcEthic	1.7677654%	4235
RcRelig	0.10393709%	249
RcGain	0.34603953%	829
RcLoss	0.003339344%	8
RcEnds	0.110615775%	265
RcTot	2.229847%	5342
RspGain	0.25963402%	622
RspLoss	0.24878114%	596
RspOth	0.81939155%	1963
RspTot	1.2785513%	3063
AffGain	0.56184465%	1346
AffLoss	0.042159222%	101
AffPt	0.6202832%	1486
AffOth	0.45623788%	1093
AffTot	1.5623957%	3743
WltPt	0.11854671%	284
WltTran	0.12188606%	292
WltOth	0.98134977%	2351
WltTot	1.1687704%	2800
WlbGain	0.22582313%	541
WlbLoss	0.34937888%	837
WlbPhys	1.4037769%	3363
WlbPsyc	0.43035796%	1031
WlbPt	0.1456789%	349
WlbTot	2.3454719%	5619
EnlGain	1.7619215%	4221
EnlLoss	0.07054365%	169
EnlEnds	0.21663995%	519
EnlPt	0.10811126%	259
EnlOth	3.1961699%	7657
EnlTot	4.3549223%	10433
SklAsth	0.14400922%	345
SklPt	0.21705736%	520
SklOth	0.72338545%	1733
SklTOT	1.0322747%	2473
TrnGain	0.61777866%	1480
TrnLoss	0.7275596%	1743
TranLw	2.9094036%	6970
MeansLw	0.43453217%	1041
EndsLw	2.2740934%	5448
ArenaLw	0.32057703%	768
PtLw	0.62863153%	1506
Nation	0.11645963%	279
Anomie	0.018366393%	44
NegAff	0.58021104%	1390
PosAff	1.015578%	2433
SureLw	2.4231114%	5805
If	1.7727743%	4247
NotLw	1.2555933%	3008
TimeSpc	6.5317574%	15648
FormLw	2.600097%	6229
