Total tokens: 5081215
Total uncategorizable tokens: 1599744
Total categorized tokens: 3481471
Total lemmas: 58690
Total uncategorizable lemmas: 50697
Total categorized lemmas: 7993


Category	Percentage	Tokens
Positiv	4.9492297%	251481
Negativ	4.714306%	239544
Pstv	4.665203%	237049
Affil	3.6227162%	184078
Ngtv	4.188959%	212850
Hostile	3.2844505%	166890
Strong	8.82043%	448185
Power	4.894223%	248686
Weak	3.8473475%	195492
Submit	1.6075681%	81684
Active	11.528168%	585771
Passive	6.436374%	327046
Pleasur	0.31758153%	16137
Pain	0.4207655%	21380
Feel	0.013953356%	709
Arousal	1.1955014%	60746
EMOT	1.0997174%	55879
Virtue	2.5340593%	128761
Vice	1.501511%	76295
Ovrst	5.4975433%	279342
Undrst	3.1155539%	158308
Academ	0.547251%	27807
Doctrin	0.3565092%	18115
Econ@	1.4233407%	72323
Exch	0.21616878%	10984
ECON	1.7427722%	88554
Exprsv	0.8160647%	41466
Legal	1.0851932%	55141
Milit	0.3060882%	15553
Polit@	0.67792845%	34447
POLIT	1.9267635%	97903
Relig	0.22217126%	11289
Role	2.2816393%	115935
COLL	0.90368146%	45918
Work	2.9187112%	148306
Ritual	0.7517296%	38197
SocRel	4.6687455%	237229
Race	0.11796391%	5994
Kin@	0.4709897%	23932
MALE	2.6063058%	132432
Female	2.2472577%	114188
Nonadlt	0.22370633%	11367
HU	3.0627518%	155625
ANI	0.20422281%	10377
PLACE	1.8663844%	94835
Social	0.73653644%	37425
Region	0.23681344%	12033
Route	0.24507919%	12453
Aquatic	0.1289849%	6554
Land	0.34501588%	17531
Sky	0.19827935%	10075
Object	3.7488866%	190489
Tool	1.9117279%	97139
Food	0.27765012%	14108
Vehicle	0.1519912%	7723
BldgPt	0.32013997%	16267
ComnObj	0.7234884%	36762
NatObj	0.50476116%	25648
BodyPt	1.2974455%	65926
ComForm	4.616455%	234572
COM	3.0981762%	157425
Say	0.5464048%	27764
Need	1.8339316%	93186
Goal	0.31126413%	15816
Try	1.2451746%	63270
Means	2.8448904%	144555
Persist	0.64360595%	32703
Complet	1.125341%	57181
Fail	0.6121961%	31107
NatrPro	1.2316345%	62582
Begin	0.41875812%	21278
Vary	0.9733499%	49458
Increas	0.30506483%	15501
Decreas	0.18473928%	9387
Finish	0.74513674%	37862
Stay	0.6804672%	34576
Rise	0.3799288%	19305
Exert	1.097946%	55789
Fetch	1.0681107%	54273
Travel	2.1565905%	109581
Fall	0.24072982%	12232
Think	0.020959554%	1065
Know	2.6289577%	133583
Causal	1.4364281%	72988
Ought	0.32472548%	16500
Perceiv	1.7553085%	89191
Compare	0.50017565%	25415
Eval@	0.08826629%	4485
EVAL	1.3374754%	67960
Solve	4.6464477%	236096
Abs@	1.0957222%	55676
ABS	2.3713815%	120495
Quality	1.6345501%	83055
Quan	5.126825%	260505
NUMB	1.0100931%	51325
ORD	0.27009287%	13724
CARD	0.7400002%	37601
FREQ	0.7884531%	40063
DIST	0.18796685%	9551
Time@	4.055585%	206073
TIME	1.1186695%	56842
Space	5.9806366%	303889
POS	0.4838016%	24583
DIM	0.5157821%	26208
Rel	2.6214595%	133202
COLOR	0.23037796%	11706
Self	2.1842809%	110988
Our	0.43334123%	22019
You	0.9383779%	47681
Name	0.3580443%	18193
Yes	0.4047654%	20567
No	0.28339678%	14400
Negate	1.4412498%	73233
Intrj	1.5458901%	78550
IAV	13.7855215%	700472
DAV	8.129926%	413099
SV	6.91067%	351146
IPadj	0.02190421%	1113
IndAdj	0.2298663%	11680
PowGain	0.7542094%	38323
PowLoss	0.639414%	32490
PowEnds	0.14368612%	7301
PowAren	0.09403262%	4778
PowCon	0.7403151%	37617
PowCoop	0.5704148%	28984
PowAuPt	0.5125152%	26042
PowPt	0.22329307%	11346
PowDoct	0.037156466%	1888
PowAuth	0.1526997%	7759
PowOth	2.0227838%	102782
PowTot	5.2178464%	265130
RcEthic	1.7754612%	90215
RcRelig	0.14134414%	7182
RcGain	0.33596295%	17071
RcLoss	0.006415788%	326
RcEnds	0.121860616%	6192
RcTot	2.2702641%	115357
RspGain	0.22886258%	11629
RspLoss	0.25779268%	13099
RspOth	0.7923302%	40260
RspTot	1.2475953%	63393
AffGain	0.6021788%	30598
AffLoss	0.037136786%	1887
AffPt	0.6707254%	34081
AffOth	0.43131417%	21916
AffTot	1.6185303%	82241
WltPt	0.105230734%	5347
WltTran	0.12963435%	6587
WltOth	0.9817927%	49887
WltTot	1.1568099%	58780
WlbGain	0.21851072%	11103
WlbLoss	0.32645735%	16588
WlbPhys	1.2433443%	63177
WlbPsyc	0.41989958%	21336
WlbPt	0.13764425%	6994
WlbTot	2.1718626%	110357
EnlGain	2.06364%	104858
EnlLoss	0.0630361%	3203
EnlEnds	0.21006787%	10674
EnlPt	0.11253214%	5718
EnlOth	3.3922594%	172368
EnlTot	4.6417637%	235858
SklAsth	0.13941547%	7084
SklPt	0.21128806%	10736
SklOth	0.73273814%	37232
SklTOT	1.03306%	52492
TrnGain	0.5888749%	29922
TrnLoss	0.7384848%	37524
TranLw	2.8574266%	145192
MeansLw	0.38882434%	19757
EndsLw	2.2382834%	113732
ArenaLw	0.30754456%	15627
PtLw	0.6199502%	31501
Nation	0.11875112%	6034
Anomie	0.022041973%	1120
NegAff	0.5683483%	28879
PosAff	0.96917766%	49246
SureLw	2.377148%	120788
If	1.8421972%	93606
NotLw	1.3226562%	67207
TimeSpc	6.2428966%	317215
FormLw	2.865909%	145623
