Total tokens: 258454
Total uncategorizable tokens: 74690
Total categorized tokens: 183764
Total lemmas: 7468
Total uncategorizable lemmas: 3501
Total categorized lemmas: 3967


Category	Percentage	Tokens
Positiv	5.1618466%	13341
Negativ	5.2601237%	13595
Pstv	4.9242806%	12727
Affil	3.489209%	9018
Ngtv	4.5427814%	11741
Hostile	3.7379959%	9661
Strong	10.565903%	27308
Power	6.5860853%	17022
Weak	4.054493%	10479
Submit	1.9574083%	5059
Active	13.108715%	33880
Passive	6.987704%	18060
Pleasur	0.24259636%	627
Pain	0.39271978%	1015
Feel	0.019345801%	50
Arousal	1.4114697%	3648
EMOT	1.1367594%	2938
Virtue	2.8322256%	7320
Vice	1.7171334%	4438
Ovrst	6.8426104%	17685
Undrst	3.2706015%	8453
Academ	0.4120656%	1065
Doctrin	0.22441131%	580
Econ@	1.3634921%	3524
Exch	0.20003559%	517
ECON	1.4815016%	3829
Exprsv	0.58424324%	1510
Legal	1.1909276%	3078
Milit	0.525432%	1358
Polit@	0.96845084%	2503
POLIT	2.6074271%	6739
Relig	0.6604657%	1707
Role	2.3621223%	6105
COLL	1.0833648%	2800
Work	3.424594%	8851
Ritual	0.7099909%	1835
SocRel	5.4268847%	14026
Race	0.23098889%	597
Kin@	0.18146363%	469
MALE	2.8360946%	7330
Female	2.8299038%	7314
Nonadlt	0.11839631%	306
HU	3.3421807%	8638
ANI	0.10833649%	280
PLACE	1.4834361%	3834
Social	0.4917703%	1271
Region	0.30721134%	794
Route	0.23988795%	620
Aquatic	0.089377604%	231
Land	0.2754842%	712
Sky	0.091312185%	236
Object	3.2748573%	8464
Tool	1.6857932%	4357
Food	0.1594094%	412
Vehicle	0.0797047%	206
BldgPt	0.32191417%	832
ComnObj	0.6519536%	1685
NatObj	0.5103423%	1319
BodyPt	1.179707%	3049
ComForm	5.1316676%	13263
COM	3.3185787%	8577
Say	1.0241668%	2647
Need	1.9369017%	5006
Goal	0.29483002%	762
Try	1.198279%	3097
Means	3.5731695%	9235
Persist	0.65698344%	1698
Complet	1.1309556%	2923
Fail	0.6941274%	1794
NatrPro	1.4648641%	3786
Begin	0.43876278%	1134
Vary	0.9363368%	2420
Increas	0.46739456%	1208
Decreas	0.21589915%	558
Finish	0.75061715%	1940
Stay	0.82800037%	2140
Rise	0.35712352%	923
Exert	1.1069669%	2861
Fetch	1.06518%	2753
Travel	2.0200887%	5221
Fall	0.20506549%	530
Think	0.018185055%	47
Know	3.7720447%	9749
Causal	1.4729893%	3807
Ought	0.35093284%	907
Perceiv	1.9991953%	5167
Compare	0.6941274%	1794
Eval@	0.067323394%	174
EVAL	1.5167109%	3920
Solve	5.927167%	15319
Abs@	1.317836%	3406
ABS	2.1408064%	5533
Quality	1.6327858%	4220
Quan	5.262832%	13602
NUMB	0.7757667%	2005
ORD	0.21512532%	556
CARD	0.56064135%	1449
FREQ	0.5850171%	1512
DIST	0.15283184%	395
Time@	3.5774257%	9246
TIME	0.6898713%	1783
Space	5.0964584%	13172
POS	0.38536838%	996
DIM	0.41516092%	1073
Rel	2.6546311%	6861
COLOR	0.37724316%	975
Self	1.585969%	4099
Our	0.46855533%	1211
You	1.3805165%	3568
Name	0.15128417%	391
Yes	0.4437927%	1147
No	0.2696805%	697
Negate	1.6927577%	4375
Intrj	1.7515689%	4527
IAV	16.008265%	41374
DAV	9.557987%	24703
SV	8.163542%	21099
IPadj	0.035983194%	93
IndAdj	0.30798516%	796
PowGain	0.87559104%	2263
PowLoss	0.8136844%	2103
PowEnds	0.17256457%	446
PowAren	0.22247674%	575
PowCon	1.0705967%	2767
PowCoop	0.5238843%	1354
PowAuPt	0.55174226%	1426
PowPt	0.33197397%	858
PowDoct	0.02940562%	76
PowAuth	0.123426214%	319
PowOth	2.9196684%	7546
PowTot	6.7911506%	17552
RcEthic	1.9601166%	5066
RcRelig	0.29096088%	752
RcGain	0.41864315%	1082
RcLoss	0.0034822447%	9
RcEnds	0.45191795%	1168
RcTot	2.9989862%	7751
RspGain	0.24607861%	636
RspLoss	0.2801272%	724
RspOth	0.87288266%	2256
RspTot	1.3603969%	3516
AffGain	0.68174607%	1762
AffLoss	0.033661697%	87
AffPt	0.44069737%	1139
AffOth	0.30218145%	781
AffTot	1.3820641%	3572
WltPt	0.1036935%	268
WltTran	0.12652154%	327
WltOth	0.7769274%	2008
WltTot	0.95413494%	2466
WlbGain	0.23950103%	619
WlbLoss	0.36563566%	945
WlbPhys	1.3754865%	3555
WlbPsyc	0.4584955%	1185
WlbPt	0.09053835%	234
WlbTot	2.3234308%	6005
EnlGain	2.6747506%	6913
EnlLoss	0.08280004%	214
EnlEnds	0.5103423%	1319
EnlPt	0.032887865%	85
EnlOth	4.330364%	11192
EnlTot	5.691535%	14710
SklAsth	0.09788976%	253
SklPt	0.24453095%	632
SklOth	0.70070493%	1811
SklTOT	1.0036602%	2594
TrnGain	0.6538881%	1690
TrnLoss	0.85972744%	2222
TranLw	3.1928313%	8252
MeansLw	0.47048992%	1216
EndsLw	2.5532591%	6599
ArenaLw	0.39852354%	1030
PtLw	0.7463611%	1929
Nation	0.016637389%	43
Anomie	0.011607481%	30
NegAff	0.7215984%	1865
PosAff	1.0009518%	2587
SureLw	3.0825603%	7967
If	2.6294816%	6796
NotLw	1.5325744%	3961
TimeSpc	5.4423614%	14066
FormLw	3.2388742%	8371
